"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";
"3";"1k";"R-EU_R0402";"R0402";"R13, R23, R24";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"1k7";"R-EU_R0603";"R0603";"R33";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"4";"1u";"CPOL-USB/3528-21W";"B/3528-21W";"C10, C22, C23, C24";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"2";"1u";"X2Y1206";"C1206-X2Y";"CF1, CF2";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"22-23-2021";"22-23-2021";"22-23-2021";"X6, X8, X9";".100" (2.54mm) Center Header - 2 Pin";"";"";"";"";"MOLEX";"";"22-23-2021";"1462926";"25C3832";"";"";
"1";"22-23-2041";"22-23-2041";"22-23-2041";"X7";".100" (2.54mm) Center Header - 4 Pin";"";"";"";"";"MOLEX";"";"22-23-2041";"1462920";"38C0355";"";"";
"1";"240R";"R-EU_R0603";"R0603";"R7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"2k2";"R-EU_R0402";"R0402";"R46";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"3.3u";"CPOL-USB/3528-21W";"B/3528-21W";"C20";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"2";"300R, 0.1%";"R-EU_R0603";"R0603";"R41, R42";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"2";"330R";"R-EU_R0402";"R0402";"R36, R37";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"2";"330R, 0.5W";"R-EU_R0805";"R0805";"R5, R6";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"33k";"R-EU_R0402";"R0402";"R22";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"3k3";"R-EU_R0402";"R0402";"R47";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"4.7u";"CPOL-USB/3528-21W";"B/3528-21W";"C16";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"2";"4052";"4052";"F4052";"K1, K2";"RELAY";"";"";"";"";"";"";"";"unknown";"unknown";"";"";
"1";"412k";"R-EU_R0603";"R0603";"R34";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"2";"470n";"C-EUC1206";"C1206";"C13, C15";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"500R";"R-EU_R0402";"R0402";"R19";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"2";"50R 2W";"R-EU_0613/5V";"P0613V";"R2, R3";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"5k";"R-EU_R0402";"R0402";"R12";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"5k1";"R-EU_R0402";"R0402";"R10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"2";"5k1, 1W";"R-EU_0411/3V";"0411V";"R16, R17";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"60R";"R-EU_R0805";"R0805";"R18";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"3";"634-15ABPE";"634-15ABPE";"634-15ABPE";"HS1, HS2, HS4";"Wakefield-Vette 634-15-ABPE";"";"";"";"";"";"";"";"";"";"";"";
"1";"6k34";"R-EU_R0603";"R0603";"R8";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"7V";"ZENER-DIODEDO-219AC";"MICROSMF";"Z1";"Z-Diode";"";"";"";"";"";"";"";"";"";"";"";
"1";"7k5";"R-EU_R0603";"R0603";"R11";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
